Asset ID,Type,Name,Path,Created At,URL,Format,Size,clean_url,category,subcategory,series,project_id,index,gallery_images
6a118a895c7cd75eb869ce90,File,flamenco1024.png - flamenco1024.png - 01,/ZHONGyuan/Dance Battle/flamenco1024.png,2026-05-23T11:07:53.136Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/flamenco1024.png?updatedAt=1779534473589,png,100099,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/flamenco1024.png,flamenco1024.png,flamenco1024.png,,/ZHONGyuan/Dance Battle/flamenco1024.png,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/flamenco1024.png']
6a118a895c7cd75eb869ce82,File,hit1.gif - hit1.gif - 01,/ZHONGyuan/Dance Battle/hit1.gif,2026-05-23T11:07:53.131Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/hit1.gif?updatedAt=1779534473640,gif,106950,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/hit1.gif,hit1.gif,hit1.gif,,/ZHONGyuan/Dance Battle/hit1.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/hit1.gif']
6a118a895c7cd75eb869cde6,File,hit2.0.png - hit2.0.png - 01,/ZHONGyuan/Dance Battle/hit2.0.png,2026-05-23T11:07:53.057Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/hit2.0.png?updatedAt=1779534473493,png,59645,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/hit2.0.png,hit2.0.png,hit2.0.png,,/ZHONGyuan/Dance Battle/hit2.0.png,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/hit2.0.png']
6a118a895c7cd75eb869d018,File,idle2.0.gif - idle2.0.gif - 01,/ZHONGyuan/Dance Battle/idle2.0.gif,2026-05-23T11:07:53.235Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/idle2.0.gif?updatedAt=1779534473782,gif,243760,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle2.0.gif,idle2.0.gif,idle2.0.gif,,/ZHONGyuan/Dance Battle/idle2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle2.0.gif']
6a118a895c7cd75eb869d011,File,idle_f.gif - idle_f.gif - 01,/ZHONGyuan/Dance Battle/idle_f.gif,2026-05-23T11:07:53.229Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/idle_f.gif?updatedAt=1779534473873,gif,348951,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f.gif,idle_f.gif,idle_f.gif,,/ZHONGyuan/Dance Battle/idle_f.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f.gif']
6a118a895c7cd75eb869d030,File,idle_f1.1.gif - idle_f1.1.gif - 01,/ZHONGyuan/Dance Battle/idle_f1.1.gif,2026-05-23T11:07:53.252Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/idle_f1.1.gif?updatedAt=1779534473865,gif,351374,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f1.1.gif,idle_f1.1.gif,idle_f1.1.gif,,/ZHONGyuan/Dance Battle/idle_f1.1.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f1.1.gif']
6a118a895c7cd75eb869d084,File,idle_f1.3.gif - idle_f1.3.gif - 01,/ZHONGyuan/Dance Battle/idle_f1.3.gif,2026-05-23T11:07:53.293Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/idle_f1.3.gif?updatedAt=1779534473823,gif,421151,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f1.3.gif,idle_f1.3.gif,idle_f1.3.gif,,/ZHONGyuan/Dance Battle/idle_f1.3.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/idle_f1.3.gif']
6a118a8c5c7cd75eb869e433,File,logo-05a875d18cfb487b98897bae26f1d2bb.gif - logo-05a875d18cfb487b98897bae26f1d2bb.gif - 01,/ZHONGyuan/Dance Battle/logo-05a875d18cfb487b98897bae26f1d2bb.gif,2026-05-23T11:07:55.985Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/logo-05a875d18cfb487b98897bae26f1d2bb.gif?updatedAt=1779534477640,gif,13271499,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logo-05a875d18cfb487b98897bae26f1d2bb.gif,logo-05a875d18cfb487b98897bae26f1d2bb.gif,logo-05a875d18cfb487b98897bae26f1d2bb.gif,,/ZHONGyuan/Dance Battle/logo-05a875d18cfb487b98897bae26f1d2bb.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logo-05a875d18cfb487b98897bae26f1d2bb.gif']
6a118a8c5c7cd75eb869e3e4,File,logo.gif - logo.gif - 01,/ZHONGyuan/Dance Battle/logo.gif,2026-05-23T11:07:55.927Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/logo.gif?updatedAt=1779534477416,gif,13271499,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logo.gif,logo.gif,logo.gif,,/ZHONGyuan/Dance Battle/logo.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logo.gif']
6a118a895c7cd75eb869d09f,File,logoDB1_鐢绘澘 1.png - logoDB1_鐢绘澘 1.png - 01,/ZHONGyuan/Dance Battle/logoDB1_鐢绘澘 1.png,2026-05-23T11:07:53.319Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/logoDB1_%E7%94%BB%E6%9D%BF%201.png?updatedAt=1779534473948,png,567076,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logoDB1_鐢绘澘 1.png,logoDB1_鐢绘澘 1.png,logoDB1_鐢绘澘 1.png,,/ZHONGyuan/Dance Battle/logoDB1_鐢绘澘 1.png,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/logoDB1_鐢绘澘 1.png']
6a118a895c7cd75eb869ce86,File,projectile_fort2.0.gif - projectile_fort2.0.gif - 01,/ZHONGyuan/Dance Battle/projectile_fort2.0.gif,2026-05-23T11:07:53.129Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/projectile_fort2.0.gif?updatedAt=1779534473644,gif,74273,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/projectile_fort2.0.gif,projectile_fort2.0.gif,projectile_fort2.0.gif,,/ZHONGyuan/Dance Battle/projectile_fort2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/projectile_fort2.0.gif']
